set_name: HSK1

cards: Radicals
[[front]Radical | [back]Meaning | [back]Interpretation]
昨天上午你去哪儿了？ |  Where did you go yesterday morning?
我去商店买东西了。 |  I went shopping.
你买什么了？ |  What did you buy?
我买了一点儿苹果。 |  I bought some apples.
你看见张先生了吗？ |  Have you seen Mr. Zhang?
看见了，他去学开车了。 |  Yes. He has gone to a driving lesson.
他什么时候能回来？ |  When can he come back?
40分钟后回来。 |  After 40 minutes.
王方的衣服太漂亮了！ |  Wang Fang’s dress is so pretty!
是啊，她买了不少衣服。 |  Yes. She has bought quite a few clothes.
你买什么了？ |  What did you buy?
我没买，这些都是王方的东西。 |  I bought nothing. All these are Wang Fang’s stuff.
你和李小姐是什么时候认识的？ |  When did you and Miss Li first meet?
我们是2011年9月认识的。 |  We met in September 2011.
你们在哪儿认识的？ |  Where did you meet each other?
我们是在学校认识的，她是我大学同学。 |  We met in out university. She was my classmate.
你们是怎么来饭店的？ |  How did you come here?
我们是坐出租车来的。 |  We came by taxi.
李先生呢？ |  What about Mr. Li?
他是和朋友一起开车来的。 |  He drove here with his friend.
很高兴认识您！李小姐。 |  Nice to meet you, Miss Li.
认识你我也很高兴！ |  Nice to meet you too.
听张先生说，您是坐飞机来北京的？ |  Mr. Zhang said you came to Beijing by plane, didn’t you?
是的。 |  Yes. I did.

cards: Questions
[[front]Question | [back]Answer]
What three components make up a Chinese Syllable? | Initial (optional), final, and tone. (EX: 二 => initial: N/A, Final: er, Tone: `)
Simplify the following pinyin: i, in, ing, ia, ie, iao, ian, iang, iong, iu, u, ua, uo, uai, uan, uang, ueng, ü, üe, üan, ün, iou, uei, uen, jü, qü, xü, xian, xion, xien | yi, yin, ying, ya, ye, yao, yan, yang, yong, you, wu, wa, wo, wai, wan, wang, weng, yu, yue, yuan, yun, iu, ui, un, ju, qu, xu, xi’an, xi’on, xi’en
List the tone order of finals. Is there any exceptions | a, o, e, i, u, ü. Exception: iu. The tone is put on the u.
What character is used to make 是 negative. | 不
When can 的 be omitted? | a term of kinship or indicates a person
When is 几 used? | to ask about a number, usually less than 10.
How, what, and where is the retroflex final used? | “儿” (ér) can be combined with a syllable before it, forming a retroflex syllable, which is written as “character + 儿” and spelt “syllable + r” in pinyin. Common in Beijing dialects.
How do you ask a kid younger than 10 about their age, a young person or someone around your age, and an elder person. | Kid younger than 10: “你今年几岁了？”, Young person or someone around your age: “你今年多大了？”, For an elder person: “您今年多大年纪了”。
What is the negative form of 会 as in acquiring ability through learning. | 不
What order are dates said in. | Descending magnitude (年，月，号/日， 点， 分)
When is 日 used and when is 号 used? | 日 when written, 号 when spoken. (normally)
When is 多少 used? | to ask about numbers larger than 10. And ask about prices.
Can the measure word following 多少 be omitted? | Yes.
What is the unit of Chinese currency? What usually replaces it in spoken Chinese? | 元.  块
What is the character used to make 有 negative? | 没有.
Where does time words go in a sentence. | After the subject. (sometimes before).
When is 喂 used? | When answering a phone call.
“在” can express an action in progress by adding it before a verb or by using the modal particle “呢” at the end of a sentence.  Give an example and its negative.  | The negative is “没在 + Verb/Verb Phrase”, without “呢” at the end of the sentence.
When reading telephone numbers how do you say 1? | “yāo”
What mood does 吧 have? | a softened mood.
“了” can also be used between a verb and its object. There is usually a modifier before the object of the verb, such as a numeral classifier, an adjective or a pronoun, etc. Give an example of this and its negative | The negative form of “了” in both cases is “没 + verb + (object)”. In the negative form “了” should be omitted.
How is 啊 pronounced  based on the  final syllable before it? | a, e, i, o, ü ; a->ia, u, ao, ou ; a -> ua, -n ; a -> na, -ng ; a -> nga, -i (zi, ci, si 中) ; a -> za, -i (zhi, chi, shi, ri 中) ; a -> ra
When the occurrence of something is known “是 ….. 的” can be used to emphasize when, where and in which manner it occurred. Give an example of this and its negative. | “是” can be omitted in positive and interrogative sentences, but no in negative sentences.
What is the difference between reading years and reading months/dates. | Years are read digit by digit. Months and dates are read the whole number.



writing: Radicals
[write | prompt]
氵 | Radical shuǐ - Shaped like three water drops. Usually related to water.
讠 | Radical yán - Usually related to language and speech.
钅 | Radical jīn - Usually related to metal
口 | Radical kǒu - Usually related to the mouth
辶 | Radical chuò - Usually related to walking
门 | Radical mén - Usually related to a room or a door
囗 | Radical wéi - Usually means being trapped or besieged
礻 | Radical shì - Variant of “示” a character usually related to deity, sacrificial rites and one’s fortune
阝 | Radical fù - Usually related to a landform or location
亻 | Radical rén - Usually related to a person
女 | Radical nǚ - Usually related to women
饣 | Radical shí - Usually related to food
日 | Radical rì - Usually related to time
目 | Radical mù - Usually related to the eyes
月 | Radical yuè - Usually related to human body or flesh
扌 | Radical shǒu - Usually indicates an action related to a hand
艹 | Radical cǎo - Usually related to grass, trees, or plants
宀 | Radical mián - Usually related to houses 

writing: Words
[prompt | write]
ài - to like, to love | 爱
a - A modal particle used at the end of a sentence as a sign of confirmation or defense | 啊
bā - Eight | 八
bú xiè - Sure (in response to thank you) | 不谢
ba - A modal particle used at the end of a sentence to indicate consultation, a suggestion, request, or command | 吧
bàba - Father | 爸爸
bēizi - Cup, glass | 杯子
běn - A measure word for books | 本
bùshǎo - Quite a few, many | 不少
bú kèqi - You’re welcome, don’t mention it | 不客气
bù - No, not | 不
Běijīng - Beijing, capital of China | 北京
cài - Dish, cuisine | 菜
chá - Tea | 茶
chē - Car, vehicle | 车
chī - To eat | 吃
cíxìng - part of speech | 词性
cíyì - meaning | 词义
cíyǔ - word/phrase | 词语
chī fàn - To eat a meal | 吃饭
chūzūchē - Taxi, cab | 出租车
chábēi - Tea cup | 茶杯
dǎ diànhuà - To make a phone call | 打电话
Dàwèi - David | 大卫
dà - (of age) old | 大
dàxué - College, university | 大学
dàicí - pronoun (pron.) | 代词
dǎchē - Take a taxi | 打车
de - Used after an attribute | 的
diǎn - O’clock | 点
diànnǎo - Computer | 电脑
diànshì - Television | 电视
diànyǐng - Film, movie | 电影
diànyǐngyuàn - cinema | 电影院
dòngcí - verb (v.) | 动词
dōngxi - Thing, stuff | 东西
dōu - Both, all | 都
dú - To read | 读
duìbuqǐ - To be sorry | 对不起
duō - Indicating degree or extent | 多
duōshao - How many, how much | 多少
érzi - Son | 儿子
èr - Two | 二
fàndiàn - Hotel, restaurant | 饭店
fēijī - Airplane | 飞机
fēnzhōng - minute | 分钟
fēn - minute | 分
fùcí - adverb (adv.) | 副词
gāoxìng - Glad, happy | 高兴
gè - A general measure word | 个
gěi - To, To give | 给
gōngzuò - To work; job | 工作
gǒu - Dog | 狗
guó - Country, nation | 国
Hànyǔ - Chinese (language) | 汉语
hǎo - Good, fine | 好
Hànzì - Chinese character | 汉字
hào - (for date of month) number | 号
hē - To drink | 喝
hé - And | 和
Hěn - Very, quite | 很
hòumiàn - back | 后面
hòuzhuì - suffix (suf.) | 后缀
huí - To come/go back, to return | 回
huì - Can, to be able to | 会
Hànzì - Chinese character | 汉字
hòu - After, afterwards, later | 后
huílai - To come back | 回来
hǎochī - Delicious, tasty | 好吃
jiǎnchēng - abbreviation | 简称
jiècí - preposition (prep.) | 介词
jǐ - How many | 几
jīnnián - This year | 今年
jiā - Family | 家
jiào - To call, to be called | 叫
jīntiān - Today | 今天
jiǔ - Nine | 九
kèhào - lesson/course number | 课号
kǒu - A measure word for members of families, etc. | 口
kāi - To drive | 开
kàn - To look at, to watch, to read | 看
kàn jiàn - To see | 看见
kāichē - To drive a car | 开车
kuài - A unit of money, same as “yuan” | 块
liáncí - conjuction (conj.) | 连词
liàngcí - measure (m.) | 量词
lái - To come | 来
lǎoshī - Teacher | 老师
lǐmiàn - In, inside | 里面
le - Used at the end of or in the middle of a sentence to indicate a change or a new circumstance | 了
Lǐ Yuè - Li Yue, name of person | 李月
lěng - Cold | 冷
li - Inner, inside, interior | 里
liù - Six | 六
míngcí - noun (n.) | 名词
Měiguó - The United States of America | 美国
māma - Mother | 妈妈
ma - Used at the end of a question | 吗
méi - There is not | 没
mǎi - To buy, to purchase | 买
māo - Cat | 猫
méi guānxi - That’s OK, it doesn’t matter | 没关系
méiyǒu - There is not | 没有
míngnián - Next year | 明年
mǐfàn - Cooked rice | 米饭
míngzi - Name | 名字
míngtiān - tomorrow | 明天
néngyuàndòngcí - modal verb (mod.) | 能源动词
nǐshēngcí - onomatopoeia (onom.) | 拟声词
nǎ - Which | 哪
nín - (polite) you | 您
nǎr - Where	 | 哪儿
nà - That | 那
nàr - there | 那儿
ne - Used at the end of a question | 呢
nǐmen - (plural) you | 你们
néng - Can, may | 能
nǐ - (singular) you | 你
nián - Year | 年
nǐ hǎo - Hello (polite/formal) | 你好
nǐ men hǎo - Hello (to a group) | 你们好
nǚ'ér - Daughter | 女儿
pīnyīn - Pinyin | 拼音
péngyou - Friend | 朋友
piàoliang - Beautiful, pretty | 漂亮
péngyǒumen - friends | 朋友们
píngguǒ - apple | 苹果
qiánzhuì - prefix (pref.) | 前缀
qī - Seven | 七
qiánmiàn - Front | 前面
qián - Before, earlier than | 前
qián - Money | 钱
qiántiān - The day before yesterday | 前天
qǐng - (polite) please | 请
qù - To go | 去
rè - Hot | 热
rén - Human, person | 人
rènshi - To meet, to know | 认识
shùcí - numeral (num.) | 数词
shùliàngcí - quantifier (num.-m.) | 数量词
sān - Three | 三
shāngdiàn - Shop, store | 商店
shang - Up, above | 上
shàngwǔ - Morning, before noon | 上午
shǎo - Little, few | 少
shéi - Who, whom | 谁
shénme - What | 什么
shēntī - body | 身体
shuōhuà - To say | 说话
shí - Ten | 十
shíhou - Time, moment | 时候
shūdiàn - bookstore | 书店
shì - To be | 是
shū - Book | 书
shàngmiàn - above | 上面
shuǐ - Water | 水
shuǐguǒ - Fruit | 水果
shuì jiao - To sleep | 睡觉
shuō - To speak, to say | 说
sì - Four | 四
suì - Year (of age) | 岁
tàncí - interjection (int.) | 叹词
tā - He, him | 他
tā - She, her | 她
tài - Too, excessively | 太
tài…..le - Too, excessively | 太…..了
tiānqì - Weather | 天气
tāmen - (masculine) them | 他们
tīngjiàn - hear | 听见
tāmen - (feminine) them | 她们
tīng - To listen | 听
tóngxué - Classmate | 同学
wèi - Hello, hey | 喂
wǒ - I, me | 我
wǒmen - We, us | 我们
Wáng Fāng - Wang Fang, name of a person | 王方
wǔ - Five | 五
wèn - To ask, to inquire | 问
xíngróngcí - adjective (adj.) | 形容词
xǐhuan - To like, to be fond of | 喜欢
xià - Under, below | 下
xuéshēngmen - Students | 学生们
xiàwǔ - Afternoon | 下午
xià yǔ - To rain | 下雨
xiānsheng - Mr., sir | 先生
xuéchē - Learning to drive | 学车
xiànzài - Now | 现在
xiǎng - To want, would like | 想
xiǎo - Small, little | 小
xiǎojiě - Miss, young lady | 小姐
xiē - Some, a few | 些
xiě - To write | 写
xièxie - To thank | 谢谢
xīngqī - Week | 星期
xuésheng - student | 学生
xuéxí - To study, to learn | 学习
xuéxiào - School | 学校
xià - (of rain, snow, etc.) to fall | 下
xiàmiàn - Under, below | 下面
xué - To study, to learn | 学
yī - One | 一
yīfu - Clothes | 衣服
yīshēng - Doctor | 医生
yīyuàn - hospital | 医院
yǐzi - Chair | 椅子
yìdiǎnr - A few, a little | 一点儿
yǒu - To have, there be | 有
yǒudiǎnr - Kind of | 有点儿
yuè - month | 月
yě - Also, too | 也
yìqǐ - together | 一起
yǔ - Rain | 雨
zhèr - Here | 这儿
zhèxiē - these | 这些
zhùcí - particle (part.) | 助词
zàijiàn - To see you around | 再见
zài - To be in/on/at; in/on/at | 在
zěnme - (indicating nature, condition or manner, etc.) how | 怎么
zhème - So | 这么
zěnmeyàng - (indicating nature, condition or manner) how | 怎么样
zuò fàn - cook | 做饭
zhèyàng - so | 这样
zhè - This | 这
zhōngwǔ - Noon | 中午
zhù - To live, to stay | 住
zhuōzi - Desk, table | 桌子
zì - Character, word | 字
zuótiān - Yesterday | 昨天
zuò - To sit, to be seated | 坐
zuò - To make, to produce | 做
Zhāng - Zhang, a common Chinese family name | 张
Zhōngguó - China | 中国
